,Unnamed: 0,HOMO - 1,HOMO,LUMO,LUMO + 1,mol,smiles,Molecular Weight,Heavy Atom Molecular Weight,Max Abs Partial Charge,Max Partial Charge,Min Abs Partial Charge,Min Partial Charge,Radical Electrons,Valence Electrons,NHOH Count,NO Count,H Acceptors,H Donors,Ring Count,Aliphatic Rings,Aromatic Rings,Saturated Rings,Aromatic Carbocycles,Aromatic Heterocycles,Heteroatoms,Rotatable Bonds,Saturated Carbocycles,Saturated Heterocycles,H Count,C Count,N Count,F Count,Halogen Count,Double Bonds,Triple Bonds
10,BTQBT,-8.271,-6.8527,-0.5898,-0.2245,<rdkit.Chem.rdchem.Mol object at 0x16c8d3220>,C1=CSC(=c2c3nsnc3c(=C3SC=CS3)c3nsnc23)S1,396.59400000000005,392.56200000000007,0.17212486211806932,0.11625508780809327,0.11625508780809327,-0.17212486211806932,0,108,0,4,10,0,5,2,3,0,1,2,10,0,0,0,4,12,4,0,0,4,0
11,p-Me-DMBI,-8.3332,-5.0177,0.2916,1.5492,<rdkit.Chem.rdchem.Mol object at 0x16c8d3290>,CNc1ccccc1N(C)Cc1ccc(C)cc1,240.35,220.18999999999994,0.386446652414174,0.060183449271014273,0.060183449271014273,-0.386446652414174,0,94,1,2,2,1,2,0,2,0,2,0,2,4,0,0,20,16,2,0,0,0,0
12,p-Me-DMBI-Me2,-8.0836,-6.4295,1.5528,1.565,<rdkit.Chem.rdchem.Mol object at 0x16c8d3300>,Cc1ccc(C2N(C)c3cc(C)c(C)cc3N2C)cc1,266.388,244.21199999999996,0.34879717417476264,0.12757652299172567,0.12757652299172567,-0.34879717417476264,0,104,0,2,2,0,3,1,2,0,2,0,2,1,0,0,22,18,2,0,0,0,0
13,BCF,-9.8921,-9.7439,-1.4984,0.662,<rdkit.Chem.rdchem.Mol object at 0x16c8d3370>,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,511.9800000000001,511.9800000000001,0.2645655342792412,0.2645655342792412,0.2040986647071263,-0.2040986647071263,0,180,0,0,0,0,3,0,3,0,3,0,16,3,0,0,0,18,0,15,15,0,0
14,o-MeO-DMBI,-8.3508,-6.4538,1.4182,1.9025,<rdkit.Chem.rdchem.Mol object at 0x16c8d33e0>,COc1ccccc1C1N(C)c2ccccc2N1C,254.33299999999997,236.18899999999996,0.49631958445526925,0.13120806574725158,0.13120806574725158,-0.49631958445526925,0,98,0,3,3,0,3,1,2,0,2,0,3,2,0,0,18,16,2,0,0,0,0
16,TDAE,-7.9003,-5.5612,2.6916,3.3901,<rdkit.Chem.rdchem.Mol object at 0x16c8d34c0>,CN(C)C(C(N(C)C)N(C)C)N(C)C,202.34599999999998,176.13799999999998,0.29162370405844973,0.0910576207314122,0.0910576207314122,-0.29162370405844973,0,86,0,4,4,0,0,0,0,0,0,0,4,5,0,0,26,10,4,0,0,0,0
17,TBD,-8.5656,-7.7107,3.0897,3.1805,<rdkit.Chem.rdchem.Mol object at 0x16c8d3530>,C1CN=C2NCCCN2C1,139.202,126.09799999999998,0.35616892702518477,0.1934248979278783,0.1934248979278783,-0.35616892702518477,0,56,1,3,3,1,2,2,0,1,0,0,3,0,0,1,13,7,3,0,0,1,0
18,TAM,-8.5072,-8.0915,3.0476,3.4874,<rdkit.Chem.rdchem.Mol object at 0x16c8d35a0>,C1CN2CCCN3CCCN(C1)C23,181.283,162.13099999999997,0.2753689176668219,0.11913408538670324,0.11913408538670324,-0.2753689176668219,0,74,0,3,3,0,3,3,0,3,0,0,3,0,0,3,19,10,3,0,0,0,0
19,N-DMBI-Me2,-7.3874,-6.3701,1.6201,1.9121,<rdkit.Chem.rdchem.Mol object at 0x16c8d3610>,Cc1cc2c(cc1C)N(C)C(c1ccc(N(C)C)cc1)N2C,295.43,270.22999999999996,0.3776611797090705,0.12757872715400154,0.12757872715400154,-0.3776611797090705,0,116,0,3,3,0,3,1,2,0,2,0,3,2,0,0,25,19,3,0,0,0,0
20,F6-TCNNQ,-9.5843,-8.6443,-4.3675,-1.205,<rdkit.Chem.rdchem.Mol object at 0x16c8d3680>,N#CC(C#N)c1c(F)c(F)c2c(F)c(C(C#N)C#N)c(F)c(F)c2c1F,364.208,362.192,0.20569032018387884,0.1697955046133028,0.1697955046133028,-0.20569032018387884,0,128,0,4,4,0,2,0,2,0,2,0,10,2,0,0,2,16,4,6,6,0,4
21,F2-HCNQ,-11.1943,-9.6402,-4.1363,-1.6973,<rdkit.Chem.rdchem.Mol object at 0x16c8d36f0>,N#Cc1c(F)c(C(C#N)C#N)c(C#N)c(F)c1C(C#N)C#N,292.20799999999997,290.192,0.20508394305225874,0.162015411846245,0.162015411846245,-0.20508394305225874,0,102,0,6,6,0,1,0,1,0,1,0,8,2,0,0,2,14,6,2,2,0,6
22,DPDHP,-8.0968,-7.2146,0.887,1.0813,<rdkit.Chem.rdchem.Mol object at 0x16c8d3760>,COc1ccc(C2C=C(c3ccccc3)N(C)C(c3ccccc3)=C2)cc1,353.46500000000003,330.2810000000001,0.496768209630608,0.11837885431688729,0.11837885431688729,-0.496768209630608,0,134,0,2,2,0,4,1,3,0,3,0,2,4,0,0,23,25,1,0,0,2,0
23,DMBI-Me2,-8.1523,-6.5441,1.4276,1.601,<rdkit.Chem.rdchem.Mol object at 0x16c8d37d0>,Cc1cc2c(cc1C)N(C)C(c1ccccc1)N2C,252.36100000000002,232.20099999999996,0.3487971763145424,0.1275761951314756,0.1275761951314756,-0.3487971763145424,0,98,0,2,2,0,3,1,2,0,2,0,2,1,0,0,20,17,2,0,0,0,0
24,DBU,-8.7012,-7.9012,2.648,3.0608,<rdkit.Chem.rdchem.Mol object at 0x16c8d3840>,C1CCC2=NCCCN2CC1,152.24099999999999,136.113,0.36030804232987956,0.09884183249054182,0.09884183249054182,-0.36030804232987956,0,62,0,2,2,0,2,2,0,1,0,0,2,0,0,1,16,9,2,0,0,1,0
25,AQ,-9.4024,-8.9712,-1.3795,-0.2635,<rdkit.Chem.rdchem.Mol object at 0x16c8d38b0>,O=C1c2ccccc2C(=O)c2cc(S(=O)(=O)[O-])ccc21.[Na+],310.262,303.206,1.0,1.0,0.7440354926660419,-0.7440354926660419,0,100,0,5,5,0,3,1,2,0,2,0,7,1,0,0,7,14,0,0,0,4,0
26,F4-TCNQ,-10.9183,-10.6251,-3.5029,-1.3388,<rdkit.Chem.rdchem.Mol object at 0x16c8d3920>,N#CC(C#N)=c1c(F)c(F)c(=C(C#N)C#N)c(F)c1F,276.152,276.152,0.20287598604677018,0.17148610219991323,0.17148610219991323,-0.20287598604677018,0,96,0,4,4,0,1,0,1,0,1,0,8,0,0,0,0,12,4,4,4,2,4
27,TCNQ,-11.213,-9.3695,-2.9151,0.1548,<rdkit.Chem.rdchem.Mol object at 0x16c8d3990>,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,204.19199999999998,200.15999999999997,0.19162082666605199,0.13637802758074666,0.13637802758074666,-0.19162082666605199,0,72,0,4,4,0,1,0,1,0,1,0,4,0,0,0,4,12,4,0,0,2,4
28,BEDT-TTF,-7.7154,-6.1264,-1.902,-1.4956,<rdkit.Chem.rdchem.Mol object at 0x16c8d3a00>,C1=CSC2=C(S1)SC(=C1SC3=C(SC=CS3)S1)S2,380.678,376.6460000000001,0.08839684697583543,0.07176096027752603,0.07176096027752603,-0.08839684697583543,0,92,0,0,8,0,4,4,0,0,0,0,8,0,0,0,4,10,0,0,0,5,0
29,Crystal Violet,-7.7552,-7.4812,-1.4253,1.0397,<rdkit.Chem.rdchem.Mol object at 0x16c8d3a70>,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],407.98900000000003,377.74900000000014,1.0,0.19895934181831174,0.19895934181831174,-1.0,0,152,0,3,2,0,3,1,2,0,2,0,4,4,0,0,30,25,3,0,1,4,0
30,CN6-CP,-10.6393,-10.6168,-4.4549,-0.1545,<rdkit.Chem.rdchem.Mol object at 0x16c8d3ae0>,N#CC(C#N)=C1C(=C(C#N)C#N)C1=C(C#N)C#N,228.17399999999998,228.17399999999998,0.19162003434183372,0.13777085119902963,0.13777085119902963,-0.19162003434183372,0,78,0,6,6,0,1,1,0,1,0,0,6,0,1,0,0,12,6,0,0,3,6
31,TMCN3-CP,-10.4755,-10.4262,-3.6495,-0.1144,<rdkit.Chem.rdchem.Mol object at 0x16c8d3b50>,CC(=O)C(C#N)=C1C(=C(C#N)C(C)=O)C1=C(C#N)C(C)=O,279.255,270.18299999999994,0.2936825241807822,0.17045996242728467,0.17045996242728467,-0.2936825241807822,0,102,0,6,6,0,1,1,0,1,0,0,6,3,1,0,9,15,3,0,0,6,3
32,DMimC,-10.8268,-10.4344,-3.6327,-0.7466,<rdkit.Chem.rdchem.Mol object at 0x16c8d3bc0>,[CH2-][n+]1ccn(C)c1C(=O)[O-],139.134,132.07799999999997,0.5512518280598057,0.2001314189515678,0.2001314189515678,-0.5512518280598057,0,54,0,4,3,0,1,0,1,0,0,1,4,1,0,0,7,6,2,0,0,1,0
33,o-MeO-DMBI-Cl,-7.8545,-7.8268,-0.1421,1.1866,<rdkit.Chem.rdchem.Mol object at 0x16c8d3c30>,COc1ccccc1C1N(C)c2ccccc2N1C.Cl,290.7939999999999,271.64199999999994,0.49631958445526925,0.13120806574725158,0.13120806574725158,-0.49631958445526925,0,106,0,3,3,0,3,1,2,0,2,0,4,2,0,0,19,16,2,0,1,0,0
34,DCM,-8.4746,-7.4619,-0.4813,0.6202,<rdkit.Chem.rdchem.Mol object at 0x16c8d3ca0>,CC1=CC(=C(C#N)C#N)C=C(/C=C/c2ccc(N(C)C)cc2)O1,303.36500000000007,286.22900000000004,0.4619920650738211,0.13663907429231648,0.13663907429231648,-0.4619920650738211,0,114,0,4,4,0,2,1,1,0,1,0,4,3,0,0,17,19,3,0,0,4,2
35,Rhodamine B,-7.825,-7.7797,-2.6526,-0.3254,<rdkit.Chem.rdchem.Mol object at 0x16c8d3d10>,CCN=c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3oc-2c1.[Cl-],449.9580000000002,423.7500000000001,1.0,0.33581655088101603,0.33581655088101603,-1.0,0,166,1,5,4,1,4,2,2,0,2,0,6,6,0,0,26,26,2,0,1,2,0
36,F4-DMDCNQ,-10.0451,-8.9901,-3.66,0.0984,<rdkit.Chem.rdchem.Mol object at 0x16c8d3d80>,COC(=O)C(C#N)=c1c(F)c(F)c(=C(C#N)C(=O)OC)c(F)c1F,342.204,336.156,0.46487552124735376,0.34895597154526015,0.34895597154526015,-0.46487552124735376,0,124,0,6,6,0,1,0,1,0,1,0,10,2,0,0,6,14,2,4,4,4,2
37,HAT-CN6,-10.6727,-10.6541,-2.7308,-2.7231,<rdkit.Chem.rdchem.Mol object at 0x16c8d3df0>,N#Cc1nc2c3nc(C#N)c(C#N)nc3c3nc(C#N)c(C#N)nc3c2nc1C#N,384.28200000000015,384.28200000000015,0.22996225360497427,0.1772951695384709,0.1772951695384709,-0.22996225360497427,0,132,0,12,12,0,4,0,4,0,1,3,12,0,0,0,0,18,12,0,0,0,6
38,DMBI-POH,-6.4722,-6.455,-0.1434,1.1904,<rdkit.Chem.rdchem.Mol object at 0x16c8d3e60>,Cn1c(-c2ccccc2O)[n+](C)c2ccccc21.[OH-],256.30499999999995,240.17699999999994,0.8696814924318097,0.2926969245740985,0.2926969245740985,-0.8696814924318097,0,98,2,4,3,1,3,0,3,0,2,1,4,1,0,0,16,15,2,0,0,0,0
39,F4-MCTCNQ,-10.6,-9.26,-3.5787,0.1571,<rdkit.Chem.rdchem.Mol object at 0x16c8d3ed0>,[C-]#[N+]C(C#N)=c1c(F)c(F)c(=C(C#N)C(=O)OC)c(F)c1F,309.178,306.154,0.4648755212954128,0.34895595362957926,0.34895595362957926,-0.4648755212954128,0,110,0,5,4,0,1,0,1,0,1,0,9,1,0,0,3,13,3,4,4,3,3
40,I2,-9.2526,-9.2525,-1.4956,5.2337,<rdkit.Chem.rdchem.Mol object at 0x16c8d3f40>,II,253.808,253.808,0.0,0.0,0.0,0.0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
41,MoO3,-11.411,-11.1031,-2.6228,-1.4526,<rdkit.Chem.rdchem.Mol object at 0x2845fc040>,O=[Mo](=O)=O,143.93699999999998,143.93699999999998,,,,,0,24,0,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0
42,O2,-16.1876,-10.2725,-3.0066,5.6692,<rdkit.Chem.rdchem.Mol object at 0x2845fc0b0>,O=O,31.998,31.998,0.0,0.0,0.0,0.0,0,12,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
43,WO3,-11.6483,-11.4918,-3.5168,-1.0112,<rdkit.Chem.rdchem.Mol object at 0x2845fc120>,O=[W](=O)=O,231.837,231.837,,,,,0,24,0,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0
45,F3-R-TCNQ,-10.4263,-9.1965,-3.597,0.1578,<rdkit.Chem.rdchem.Mol object at 0x2845fc190>,Cc1c(F)c(=C(C#N)C#N)c(F)c(F)c1=C(C#N)C#N,272.18899999999996,269.16499999999996,0.20583293377636636,0.17128134084770377,0.17128134084770377,-0.20583293377636636,0,96,0,4,4,0,1,0,1,0,1,0,7,0,0,0,3,13,4,3,3,2,4
46,F4-R-TCNQ,-10.5046,-9.2273,-3.6334,0.1366,<rdkit.Chem.rdchem.Mol object at 0x2845fc200>,COC(=O)C(C#N)=c1c(F)c(F)c(=C(C#N)C#N)c(F)c1F,309.178,306.154,0.46487552124731873,0.3489559715724175,0.3489559715724175,-0.46487552124731873,0,110,0,5,5,0,1,0,1,0,1,0,9,1,0,0,3,13,3,4,4,3,3
47,F4OCTCNQ,-10.427,-9.0708,-3.4558,0.2583,<rdkit.Chem.rdchem.Mol object at 0x2845fc270>,[C-]#[N+]C(C#N)=c1c(F)c(F)c(=C(C#N)C(=O)OCC(C)CCCCC)c(F)c1F,407.3670000000002,390.23100000000017,0.4612707257517226,0.34924166281322055,0.34924166281322055,-0.4612707257517226,0,152,0,5,4,0,1,0,1,0,1,0,9,7,0,0,17,20,3,4,4,3,3
48,MeO-TPD,-7.0606,-6.6339,0.5733,1.0695,<rdkit.Chem.rdchem.Mol object at 0x2845fc2e0>,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc3)cc2)cc1,608.7380000000004,572.4500000000003,0.4967658832525265,0.11851093458340646,0.11851093458340646,-0.4967658832525265,0,230,0,6,6,0,6,0,6,0,6,0,6,11,0,0,36,40,2,0,0,0,0
